objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD004614,11.5447281506442,57.5428492030496,2455936.27807386,8489.26830291748,1.00875,7734.92,1.5,6255,32.3074,4707,140.648
HD004614,11.5447281506442,57.5428492030496,2455937.25861273,8429.72755432129,0.630723,9547.17,-5.5,29443,26.8667,4701,305.17
HD004614,11.5447281506442,57.5428492030496,2454740.54750111,8474.01523590088,0.8086220000000001,7708.11,-6.5,9448,32.426,4749,172.439
HD004614,11.5447281506442,57.5428492030496,2454106.23069103,8427.87075042725,0.49576299999999995,7706.83,,25314,32.7406,4708,279.867
HD004614,11.5447281506442,57.5428492030496,2455936.27217146,8490.22579193115,0.825641,7733.01,-1.83333,9235,32.5103,4707,171.162
HD004614,11.5447281506442,57.5428492030496,2455936.41894447,8484.98153686523,0.819504,7732.88,-6.83333,9137,32.4861,4706,172.079
HD004614,11.5447281506442,57.5428492030496,2455936.25138576,8488.48915100098,0.818805,7735.96,-2.5,9396,32.5325,4708,172.398
HD004614,11.5447281506442,57.5428492030496,2454107.27193384,8431.05602264404,0.40955199999999997,7700.070000000001,,36525,32.9429,4708,334.488
HD004614,11.5447281506442,57.5428492030496,2454516.33205904,8451.05266571045,0.698767,7784.799999999999,-5.0,11975,31.9037,4705,215.126
HD004614,11.5447281506442,57.5428492030496,2455936.42976554,8486.94515228271,0.74752,7733.53,-5.0,10868,32.527,4706,188.161
HD004614,11.5447281506442,57.5428492030496,2455937.42749073,8424.82757568359,0.7809470000000001,9558.85,-5.0,18860,26.5264,4701,250.045
HD004614,11.5447281506442,57.5428492030496,2454740.54647098,8469.10572052002,0.808908,7716.36,-2.66667,9427,32.3906,4749,173.205
HD004614,11.5447281506442,57.5428492030496,2454740.57985178,8474.09439086914,0.77736,7727.0599999999995,-6.16667,10048,32.2487,4749,183.194
HD004614,11.5447281506442,57.5428492030496,2454106.27098945,8407.18841552734,0.436782,7698.24,,32343,32.9201,4708,314.115
HD004614,11.5447281506442,57.5428492030496,2455936.39870271,8488.49201202393,0.794915,7737.38,-2.66667,9697,32.4763,4706,178.013
HD004614,11.5447281506442,57.5428492030496,2456280.4176452,8491.28150939941,0.863089,7745.91,-4.83333,8374,32.3005,4709,166.329
HD004614,11.5447281506442,57.5428492030496,2454105.3010843,8441.27178192139,0.71802,7710.650000000001,,12630,32.1549,4708,198.683
HD004614,11.5447281506442,57.5428492030496,2454754.53497295,8441.10774993896,0.570103,7757.97,-7.33333,18288,32.3618,4737,257.051
HD004614,11.5447281506442,57.5428492030496,2455937.45614629,8423.23112487793,0.896575,9558.78,-5.666670000000001,14302,26.4632,4701,216.585
HD004614,11.5447281506442,57.5428492030496,2455937.45984976,8424.458503723139,0.852868,9566.050000000001,-5.666670000000001,15711,26.4814,4701,227.897
